web-scraper-order,web-scraper-start-url,product-link,product-link-href,name,price,freguesia,typology,private_area,type,description,nWC,floor,elevator,parking,construction_year,energy_efficiency-src,features,agent_name,total area,useful area,building area
1688375554-1,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t1-porto-paranhos                  203 000 €         Porto -   Porto, Paranhos        Apartamento   60 m2    1    1",https://www.remax.pt/imoveis/venda-apartamento-t1-porto-paranhos/120781216-90,Apartamento T1 à venda em Porto,203 000 €,Paranhos,1,60 m2,Venda,"Descrição   É um novo edifício em betão armado de habitação multifamiliar, contempla 4 apartamentos de tipologia T1.
 O edifício organiza-se em quatro pisos acima da cota soleira, com um apartamento por piso, sendo que as habitações do piso 0 e 1, terão acesso a um excelente e prazeroso espaço de logradouro independente. É um projeto situado na Rua de Costa Cabral, a rua mais extensa da cidade do Porto, que se inicia junto à Praça do Marquês de Pombal. PISO 0 Fracção A - Área Bruta 66,10 / Logradouro 17,50 PISO 1 Fracção B - Área Bruta 66,50 / Logradouro 35,91 PISO 2 Fracção C - Área Bruta 60,10 PISO 3 Fracção D - Área Bruta 62,00     Acabamentos Interiores:  Zonas Comuns e Átrios de Acesso às Habitações  Pavimento material cerâmico argenta KURSAAL LAPADO NEUTRAL ou equivalente Tetos falsos com focos redondos e iluminação LED, na cor preto
 Elevador elétrico com capacidade para 8 pessoas
 Videoporteiro a cores, marca Fermax, com controlo de acessos Habitações  Portas de segurança marca PORTRISA, na cor Ral 7037
 Pavimento vinílico Forbo cor cinza (madeira) ou equivalente
 Paredes revestidas a gesso e pintadas com tintas CIN RAL 9010
 Tetos falsos com focos redondos e iluminação LED, na cor preto
 Sancas para cortinas e iluminação LED, onde aplicável
 Roupeiros/armários lacados à cor cinza claro e interior com acabamento tipo “linho”
 Portas interiores até ao tecto, lacadas a cinza claro e/ou folheadas a madeira de carvalho Rodapés em mdf lacado
 Aquecimento das águas sanitárias com recurso a bomba de calor ARISTON LYDOS HYBRID Climatização com recurso a ar condicionado multisplit, da marca HISENSE Cozinha  Armários em mdf lacado ou termolaminado na cor cinza claro
 Pio encastrado da RODI + torneira misturadora BRUMA p/ lava-louça, cor night sky (preto) Equipamentos (Placa de indução, forno, hotte, combinado e máquina de lavar loiça) encastráveis da marca SMEG ou BOSCH
 Tampo e contra tampo em painel compósito tipo “Silestone” ou equivalente Instalações Sanitárias  Paredes revestida a cerâmico Argenta 60x120 DURANGO IVORY ou equivalente Sanita e bidé SANITANA suspenso modelo GLAM e lavatório de pousar UP 60 Banheira SANITANA modelo CUBIC
 Resguardo de banheira em vidro translucido Torneiras misturadoras BRUMA, modelo NAUTIC, cor night sky (preto) Móvel/bancada para suporte do lavatório de pousar
 Ventilação mecânica, marca France Air         Este edifício situa-se junto aos mais variados comércios e serviços, em seu redor podemos encontrar: Restaurantes, cafés, padarias, farmácias, talhos, mercearias, supermercados, escolas, ginásios, centros de saúde, hospital, centros comerciais, entre outros.   A sua excelente localização faz com que todos os acessos sejam de rápido acesso. Podemos encontrar: - Metro – 15 min a pé das estações dos Combatentes e de Salgueiros
 - Autocarros – diversas linhas
 - Carro – rápido acesso à VCI (1,3km)       Data de Conclusão: Dezembro/2023   Todas as imagens 3D que possam constar neste projeto são meramente ilustrativas, podendo não representar o resultado final.",1,2º Andar,Não,Não,2023,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/F.png,,,--,60,--
1688375558-2,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t1-porto-paranhos                  209 000 €         Porto -   Porto, Paranhos        Apartamento   62 m2    1    1",https://www.remax.pt/imoveis/venda-apartamento-t1-porto-paranhos/120781216-91,Apartamento T1 à venda em Porto,209 000 €,Paranhos,1,62 m2,Venda,"Descrição   É um novo edifício em betão armado de habitação multifamiliar, contempla 4 apartamentos de tipologia T1.
 O edifício organiza-se em quatro pisos acima da cota soleira, com um apartamento por piso, sendo que as habitações do piso 0 e 1, terão acesso a um excelente e prazeroso espaço de logradouro independente. É um projeto situado na Rua de Costa Cabral, a rua mais extensa da cidade do Porto, que se inicia junto à Praça do Marquês de Pombal. PISO 0 Fracção A - Área Bruta 66,10 / Logradouro 17,50 PISO 1 Fracção B - Área Bruta 66,50 / Logradouro 35,91 PISO 2 Fracção C - Área Bruta 60,10 PISO 3 Fracção D - Área Bruta 62,00     Acabamentos Interiores:  Zonas Comuns e Átrios de Acesso às Habitações  Pavimento material cerâmico argenta KURSAAL LAPADO NEUTRAL ou equivalente Tetos falsos com focos redondos e iluminação LED, na cor preto
 Elevador elétrico com capacidade para 8 pessoas
 Videoporteiro a cores, marca Fermax, com controlo de acessos Habitações  Portas de segurança marca PORTRISA, na cor Ral 7037
 Pavimento vinílico Forbo cor cinza (madeira) ou equivalente
 Paredes revestidas a gesso e pintadas com tintas CIN RAL 9010
 Tetos falsos com focos redondos e iluminação LED, na cor preto
 Sancas para cortinas e iluminação LED, onde aplicável
 Roupeiros/armários lacados à cor cinza claro e interior com acabamento tipo “linho”
 Portas interiores até ao tecto, lacadas a cinza claro e/ou folheadas a madeira de carvalho Rodapés em mdf lacado
 Aquecimento das águas sanitárias com recurso a bomba de calor ARISTON LYDOS HYBRID Climatização com recurso a ar condicionado multisplit, da marca HISENSE Cozinha  Armários em mdf lacado ou termolaminado na cor cinza claro
 Pio encastrado da RODI + torneira misturadora BRUMA p/ lava-louça, cor night sky (preto) Equipamentos (Placa de indução, forno, hotte, combinado e máquina de lavar loiça) encastráveis da marca SMEG ou BOSCH
 Tampo e contra tampo em painel compósito tipo “Silestone” ou equivalente Instalações Sanitárias  Paredes revestida a cerâmico Argenta 60x120 DURANGO IVORY ou equivalente Sanita e bidé SANITANA suspenso modelo GLAM e lavatório de pousar UP 60 Banheira SANITANA modelo CUBIC
 Resguardo de banheira em vidro translucido Torneiras misturadoras BRUMA, modelo NAUTIC, cor night sky (preto) Móvel/bancada para suporte do lavatório de pousar
 Ventilação mecânica, marca France Air         Este edifício situa-se junto aos mais variados comércios e serviços, em seu redor podemos encontrar: Restaurantes, cafés, padarias, farmácias, talhos, mercearias, supermercados, escolas, ginásios, centros de saúde, hospital, centros comerciais, entre outros.   A sua excelente localização faz com que todos os acessos sejam de rápido acesso. Podemos encontrar: - Metro – 15 min a pé das estações dos Combatentes e de Salgueiros
 - Autocarros – diversas linhas
 - Carro – rápido acesso à VCI (1,3km)       Data de Conclusão: Dezembro/2023   Todas as imagens 3D que possam constar neste projeto são meramente ilustrativas, podendo não representar o resultado final.",1,3º Andar,Não,Não,2023,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/F.png,,,--,62,--
1688375561-3,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t3-porto-paranhos                 Visita virtual     375 000 €         Porto -   Porto, Paranhos        Apartamento   119 m2    3    3",https://www.remax.pt/imoveis/venda-apartamento-t3-porto-paranhos/120741282-339,Apartamento T3 à venda em Porto,375 000 €,Paranhos,3,119 m2,Venda,"Descrição   Apartamento T3 recente com Varanda próximo a Quinta do Covelo.   Esse imóvel é constituido por: Hall de entrada com acesso a ampla sala; 
Wc social; 
Sala com varanda; 
Cozinha totalmente equipada; 
Lavanderia com máquina de lavar roupa; 
Suíte master; 
2 quartos com roupeiros embutidos e mais uma casa de banho completa; 
Aquecimento central; 
Video- porteiro. O apartamento pode ser vendido totalmente mobiliado. Zonas envolvente e pontos de interesse: 
Quinta do Covelo 472 m
Farmácia Lousada 142 m
Escola Secundária Filipa de Vilhena 289 m
Lidl 274 m
Bombas de gasolina: 50m",3,2º Andar,Sim,1 Lug.,2015,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/B.png,,,--,119,--
1688375564-4,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t3-porto-paranhos                  367 500 €         Porto -   Porto, Paranhos        Apartamento   105 m2    1    3",https://www.remax.pt/imoveis/venda-apartamento-t3-porto-paranhos/120781216-92,Apartamento T3 à venda em Porto,367 500 €,Paranhos,3,105 m2,Venda,"Descrição   Mondrian Residences     É um novo edifício que contempla 2 apartamentos DUPLEX de tipologia T2 e T3.
 O edifício organiza-se em três pisos acima da cota soleira, sendo que as habitações disporão de acesso a um excelente e prazeroso espaço exterior e independente, assim como varandas com uma excelente exposição solar. É um projeto situado nas imediações da Rua de Costa Cabral, a rua mais extensa da cidade do Porto, que se inicia junto à Praça do Marquês de Pombal.   Apartamento T2 DUPLEX apresenta a seguinte distribuição: Cozinha em open space;
Sala com acesso a jardim;
Wc de serviço;
Quartos com roupeiro embutido com acesso a varanda;
Casa de banho completa;
O imóvel dispõe ainda de lugar de garagem para 1 carro.
  Apartamento T3 DUPLEX apresenta a seguinte distribuição: Sala e Cozinha em open space;
Wc de serviço;
1 Quarto com suite e roupeiro embutido com acesso a varanda;
2 Quartos com roupeiro embutido;
Casa de banho completa;
O imóvel dispõe ainda de lugar de garagem para 1 carro.
    Este edifício situa-se numa rua com pouco movimento e tranquila, ainda assim fica situado junto aos mais variados comércios e serviços, em seu redor podemos encontrar: Restaurantes, cafés, padarias, farmácias, talhos, mercearias, supermercados, escolas, ginásios, centros de saúde, hospital, centros comerciais, entre outros. A sua excelente localização faz com que todos os acessos sejam de rápido acesso. Podemos encontrar: Metro – 15 min a pé das estações dos Combatentes e de Salgueiros
 Autocarros – diversas linhas
 Carro – rápido acesso à VCI (1,3km)     Data de Conclusão: Abril.2024 O mapa de materiais e acabamentos ainda se encontra em conclusão. Todas as imagens 3D que possam constar neste projeto são meramente ilustrativas, podendo não representar o resultado.",1,3º Andar,Não,1 Lug.,2023,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/F.png,,,--,105,--
1688375567-5,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t2-porto-paranhos                  337 500 €         Porto -   Porto, Paranhos        Apartamento   91 m2    1    2",https://www.remax.pt/imoveis/venda-apartamento-t2-porto-paranhos/120781216-93,Apartamento T2 à venda em Porto,337 500 €,Paranhos,2,91 m2,Venda,"Descrição   Mondrian Residences     É um novo edifício que contempla 2 apartamentos DUPLEX de tipologia T2 e T3.
 O edifício organiza-se em três pisos acima da cota soleira, sendo que as habitações disporão de acesso a um excelente e prazeroso espaço exterior e independente, assim como varandas com uma excelente exposição solar. É um projeto situado nas imediações da Rua de Costa Cabral, a rua mais extensa da cidade do Porto, que se inicia junto à Praça do Marquês de Pombal.   Apartamento T2 DUPLEX apresenta a seguinte distribuição: Cozinha em open space;
Sala com acesso a jardim;
Wc de serviço;
Quartos com roupeiro embutido com acesso a varanda;
Casa de banho completa;
O imóvel dispõe ainda de lugar de garagem para 1 carro.
  Apartamento T3 DUPLEX apresenta a seguinte distribuição: Sala e Cozinha em open space;
Wc de serviço;
1 Quarto com suite e roupeiro embutido com acesso a varanda;
2 Quartos com roupeiro embutido;
Casa de banho completa;
O imóvel dispõe ainda de lugar de garagem para 1 carro.
    Este edifício situa-se numa rua com pouco movimento e tranquila, ainda assim fica situado junto aos mais variados comércios e serviços, em seu redor podemos encontrar: Restaurantes, cafés, padarias, farmácias, talhos, mercearias, supermercados, escolas, ginásios, centros de saúde, hospital, centros comerciais, entre outros. A sua excelente localização faz com que todos os acessos sejam de rápido acesso. Podemos encontrar: Metro – 15 min a pé das estações dos Combatentes e de Salgueiros
 Autocarros – diversas linhas
 Carro – rápido acesso à VCI (1,3km)     Data de Conclusão: Abril.2024 O mapa de materiais e acabamentos ainda se encontra em conclusão. Todas as imagens 3D que possam constar neste projeto são meramente ilustrativas, podendo não representar o resultado.",1,2º Andar,Não,1 Lug.,2023,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/F.png,,,--,91,130
1688375570-6,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t5-porto-paranhos                  250 000 €         Porto -   Porto, Paranhos        Apartamento   138 m2    2    5",https://www.remax.pt/imoveis/venda-apartamento-t5-porto-paranhos/124261017-106,Apartamento T5 à venda em Porto,250 000 €,Paranhos,5,138 m2,Venda,"Descrição   Excelente Apartamento T5 localizado ao lado do Colégio Luso Francês em Paranhos! Este imóvel com grande potencial para investimento dada a sua tipologia e localização é constituído da seguinte forma: Na parte social temos uma sala ampla com varanda, cozinha equipada com placa, forno e exaustor, varanda marquisada ( lavandaria), quarto transformado em sala de refeições ao lado da cozinha e uma casa de banho completa com base de duche, na parte privativa temos os quatro quartos com boas dimensões e uma casa de banho completa. Do mesmo faz parte um lugar de garagem e arrumos. Exposição solar Norte/Sul. Localizado perto de todo o tipo de comércio e serviços, principalmente da Universidade Fernando Pessoa, transportes públicos e com bons acessos à VCI e à Circunvalação. Aproveite esta oportunidade e marque já hoje a sua visita!",2,3º Andar,Não,1 Lug.,1987,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/D.png,Características   Varanda Arrecadação  Cozinha Equipada Perto de Transportes Públicos  Urbano Vistas Exteriores  Perto de Lojas Trânsito de Acesso Fácil  Perto de Jardim Perto de Autoestrada  Perto de Parque Residencial  Perto de Escola(s) Local Movimentado  Perto de Hospital Perto de Igreja  Perto de Ginásio Norte  Sul,,154,138,154
1688375573-7,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t2-porto-ramalde                  287 500 €         Porto -   Porto, Ramalde        Apartamento   87 m2    2    2",https://www.remax.pt/imoveis/venda-apartamento-t2-porto-ramalde/120781137-66,Apartamento T2 à venda em Porto,287 500 €,Ramalde,2,87 m2,Venda,"Descrição   Excelente T2 como NOVO, ao Hospital da Prelada. Ao nível do 5º andar de um edifício recente, situado na Rua João Andersen, a 300m do Hospital da Prelada, a 500m do Carvalhido e a menos de 15 minutos a pé da Casa da Música e da Rotunda da Boavista, tem boas acessibilidades, transportes públicos a 300m, boa oferta de comércio e serviços e vários equipamentos de ensino e saúde nas proximidades. Com vistas desafogadas é composto por: - hall de entrada - sala comum com varanda - cozinha com porta de correr embutida na parede de meação com a sala - lavandaria independente - quarto de banho com base de chuveiro - quarto com roupeiro embutido - suite com roupeiro embutido e quarto de banho com banheira - lugar de estacionamento na cave e estacionamente exterior disponível nas traseiras do prédio Acabamentos de qualidade, pavimento flutuante com acabamento em madeira de Riga, carpintarias lacadas, revestimentos cerâmicos na cozinha e quartos de banho da CINCA, móveis suspensos folheados a Riga com bancadas em SILESTONE e peças sanitárias da SANINDUSA. Cozinha com mobiliário lacado a cor cinza com bancadas em SILESTONE e equipada com electrodomésticos encastrados incluindo exaustor, placa vitrocerâmica, forno, micro-ondas, frigorífico combinado e máquina de lavar loiça. Lavandaria equipada com máquina de lavar roupa e caldeira a gás. O edifício foi concluído em 2021, tem 2 elevadores, plataforma elevatória na entrada, vídeo porteiro, comando à distância no portão de garagem, instalação de gás, painéis solares, rede de voz e dados e de sinal de televisão. O apartamento está arrendado com contrato a termo certo. Para mais informações contacte-me e refira o ID 120781137-66",2,5º Andar,Sim,1 Lug.,2021,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/A.png,Características   Madeira Varanda  Cozinha Equipada Perto de Transportes Públicos  Urbano Energias Renováveis  Terraço Construção Nova  Porta Automática Estacionamento Autorizado  Acesso para cargas e descargas Garagem C/ Portão Automático  Acesso para Mobilidade Reduzida Aquecimento a Gás  Painéis Solares Chão em Madeira Maciça  Estores Elétricos Aquecimento Central  Caldeira Rua Sossegada  Perto de Hospital Perto de Autoestrada  Perto de Escola(s) Trânsito de Acesso Fácil  Perto de Igreja Este,,--,87,105
1688375576-8,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t1-porto-bonfim                 Redução de Preço    685 000 €  710 000 €  4%         Porto -   Porto, Bonfim        Apartamento   146 m2    1    1",https://www.remax.pt/imoveis/venda-apartamento-t1-porto-bonfim/124261091-84,Apartamento T1 à venda em Porto,685 000 €,Bonfim,1,146 m2,Venda,"Descrição   Este apartamento T1 da autoria do Arquiteto Souto Moura (Casa da Quinta Amarela) está inserido em um condomínio fechado de prestígio. O condomínio oferece uma série de comodidades exclusivas, projetadas para proporcionar conforto e bem-estar aos seus moradores. Entre as comodidades disponíveis, destaca-se um ginásio totalmente equipado, permitindo que os residentes mantenham uma rotina de exercícios físicos sem sair de casa. Para os momentos de relaxamento, o condomínio oferece uma piscina interior, onde é possível desfrutar de momentos de lazer durante todo o ano. Além disso, os amplos jardins e lagos do condomínio, com uma área total de 16.000 m², oferecem espaços verdes exuberantes, proporcionando um ambiente tranquilo e sereno. É o local perfeito para passeios relaxantes e momentos de contemplação da natureza. Em termos de estacionamento, este apartamento T1 conta com uma vantagem adicional: dois lugares de garagem em formato de box. Essa comodidade garante a segurança e conveniência para estacionar os veículos, oferecendo praticidade aos moradores. Portanto, além de desfrutar de um apartamento de prestígio, os moradores também têm acesso a um condomínio fechado com uma gama de facilidades exclusivas. O ginásio, a piscina interior, os amplos jardins e lagos, bem como os dois lugares de garagem box, são características que adicionam ainda mais valor e conforto a esta propriedade singular na Avenida dos Combatentes. Não perca a oportunidade de vivenciar o luxo e o estilo de vida oferecidos por este condomínio exclusivo.",1,2º Andar,Sim,2 Lug.,2021,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/C.png,,,--,146,--
1688375580-9,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t4-porto-aldoar-foz-do-douro-e-nevogilde                  2 650 000 €     Propriedade Privada    Porto -   Porto, Aldoar, Foz do Douro e Nevogilde        Apartamento   271 m2    6    4",https://www.remax.pt/imoveis/venda-apartamento-t4-porto-aldoar-foz-do-douro-e-nevogilde/123821022-425,Apartamento T4 à venda em Porto,2 650 000 €,"Aldoar, Foz do Douro e Nevogilde",4,271 m2,Venda,"Descrição   Apartamento T4 Penthouse com Piscina – Casal de Passos, Foz do Douro   Numa das áreas mais prestigiadas do Porto, inserido num novo edifício de linhas contemporâneas e elegantes, este Apartamento T4 vai encantá-lo com o seu interior de 271m2 e surpreendê-lo com um fantástico Terraço com Piscina de 229m2.   É composto por: - Sala
 - Cozinha
 - 2 Casas de Banho
 - 4 Suites
 - Varanda
 - Terraço
 - Piscina   Para sua segurança, este imóvel dispõe de uma garagem privada para 2 carros + um lugar de garagem e ainda de um arrumo privativo.   Pensado para sua maior comodidade o imóvel dispõe de:
 - Bomba de calor no aquecimento de águas sanitárias,
 - Estores elétricos
 - Pisos radiantes elétricos nas Casas de Banho
 - Ar Condicionado
 - Domótica Controlo de iluminação, Ar Condicionado, Estores e Vídeo Porteiro   PROJECTO AUTORIA ARQUITETO JOSÉ CARLOS CRUZ   Situado na Travessa Passos em Aldoar, a localização deste Apartamento oferece proximidade com todo o tipo de comércio, serviços, escolas e transportes públicos.   Entre em contacto connosco e agende a sua visita e deixe-se deslumbrar por esta fantástica Penthouse.  

 _______________________   Penthouse with 4 Bedrooms and with Swimming Pool – Casal de Passos, Foz do Douro   In one of the most prestigious areas of Porto, housed in a new building with contemporary and elegant lines, this Penthouse will enchant you with it's 271m2 interior and surprise you with a fantastic 229m2 terrace with pool.   It's composed by: - Living room
- Kitchen
- 2 Bathrooms
- 4 Suites
- Balcony
- Terrace
- Pool   For your safety, this property has a private garage for 2 cars + a parking space and a private storage room. Designed for your convenience, the property has:
- Heat pump in domestic water heating,
- Electric blinds
- Electric underfloor heating in bathrooms
- Air conditioning
- Domotics Control of lighting, Air Conditioning, Blinds and Video Intercom   PROJECT AUTHORITY ARCHITECT JOSÉ CARLOS CRUZ
 Located in Travessa Passos in Aldoar, the location of this Apartment offers proximity to all types of commerce, services, schools and public transport.   Schedule your visit and let yourself be dazzled by this fantastic Penthouse.",6,4º Andar,Não,2 Lug.,2024,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/NC.png,Características   Terraço Piscina  Perto de Transportes Públicos Ar Condicionado  Arrecadação Garagem C/ Portão Automático  Estilo Contemporâneo Praia  Perto de Água Perto de Ginásio  Perto de Praia Perto de Escola(s)  Perto de Lojas Varanda  Estores Elétricos,,--,271,500
1688375584-10,"https://www.remax.pt/comprar?searchQueryState=%7B%22regionName%22:%22Porto%22,%22sort%22:%7B%22fieldToSort%22:%22PublishDate%22,%22order%22:1%7D,%22businessType%22:1,%22page%22:1,%22t%22:%22%22,%22mapIsOpen%22:false,%22mapScroll%22:false,%22searchNextToMe%22:false,%22regionID%22:%22572%22,%22regionType%22:%22Region2ID%22,%22regionCoordinates%22:%7B%22latitude%22:41,%22longitude%22:-8%7D,%22regionZoom%22:12,%22listingTypes%22:%5B%221%22%5D,%22rooms%22:-1,%22price%22:null%7D","venda-apartamento-t0-porto-lordelo-do-ouro-e-massarelos                  235 000 €         Porto -   Porto, Lordelo do Ouro e Massarelos        Apartamento   54 m2    1    0",https://www.remax.pt/imoveis/venda-apartamento-t0-porto-lordelo-do-ouro-e-massarelos/123821384-26,Apartamento T0 à venda em Porto,235 000 €,Lordelo do Ouro e Massarelos,0,54 m2,Venda,Descrição   Apartamento T0 para venda junto à Renault Boavista Empreendimento Oporto Place Imóvel de excelente qualidade Roupeiro Embutido Aquecimento Central Dois Elevadores Lugar de Garagem Arrumo Porteiro 24 Horas Próximo de todo o tipo de comércio Agende a sua visita,1,2º Andar,Sim,1 Lug.,2009,https://i.maxwork.pt/mxw-650/energyefficiency/details/EF/Bminus.png,,,--,54,--
